review_id,product_name,review_text,rating,verified_purchase,review_date,cleaned_text
107,Smartwatch Elite,Exceeded expectations! Will buy again.,4,No,2024-12-30,exceeded expectations buy
108,Smartphone X,Excellent battery life and smooth performance.,3,Yes,2025-01-01,excellent battery life smooth performance
109,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2025-01-03,excellent battery life smooth performance
110,Earbuds 2.0,"Sound quality is average, not worth the price.",4,Yes,2025-01-05,sound quality average worth price
111,Earbuds 2.0,"Fantastic value for money, highly recommended.",4,Yes,2025-01-07,fantastic value money highly recommended
112,Smartphone X,"Camera quality could be better, overall okay.",2,Yes,2025-01-09,camera quality could better overall okay
113,Earbuds 2.0,"Camera quality could be better, overall okay.",1,Yes,2025-01-11,camera quality could better overall okay
114,Earbuds 2.0,"Sound quality is average, not worth the price.",5,No,2025-01-13,sound quality average worth price
115,Smartwatch Elite,"After a month of use, still works flawlessly.",3,No,2025-01-15,month use still works flawlessly
116,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2025-01-17,camera quality could better overall okay
117,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2025-01-19,exceeded expectations buy
118,Smartphone X,"Sound quality is average, not worth the price.",5,Yes,2025-01-21,sound quality average worth price
119,Smartwatch Elite,"Camera quality could be better, overall okay.",1,Yes,2025-01-23,camera quality could better overall okay
120,Earbuds 2.0,"Faced issues with charging, had to return it.",1,No,2025-01-25,faced issues charging return
121,Smartphone X,"Faced issues with charging, had to return it.",4,Yes,2025-01-27,faced issues charging return
122,Smartphone X,"Fantastic value for money, highly recommended.",2,Yes,2025-01-29,fantastic value money highly recommended
123,Earbuds 2.0,"Sound quality is average, not worth the price.",4,Yes,2025-01-31,sound quality average worth price
124,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2025-02-02,month use still works flawlessly
125,Smartphone X,"After a month of use, still works flawlessly.",4,No,2025-02-04,month use still works flawlessly
126,Laptop Pro,"Faced issues with charging, had to return it.",5,No,2025-02-06,faced issues charging return
127,Laptop Pro,"Fantastic value for money, highly recommended.",3,Yes,2025-02-08,fantastic value money highly recommended
128,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2025-02-10,exceeded expectations buy
129,Smartwatch Elite,"Sound quality is average, not worth the price.",2,No,2025-02-12,sound quality average worth price
130,Earbuds 2.0,"Fantastic value for money, highly recommended.",2,Yes,2025-02-14,fantastic value money highly recommended
131,Smartphone X,The display and design are absolutely stunning.,5,No,2025-02-16,display design absolutely stunning
132,Laptop Pro,Excellent battery life and smooth performance.,4,Yes,2025-02-18,excellent battery life smooth performance
133,Earbuds 2.0,Excellent battery life and smooth performance.,3,Yes,2025-02-20,excellent battery life smooth performance
134,Smartphone X,Exceeded expectations! Will buy again.,2,Yes,2025-02-22,exceeded expectations buy
135,Laptop Pro,"After a month of use, still works flawlessly.",5,Yes,2025-02-24,month use still works flawlessly
136,Laptop Pro,Exceeded expectations! Will buy again.,4,Yes,2025-02-26,exceeded expectations buy
137,Earbuds 2.0,The display and design are absolutely stunning.,3,No,2025-02-28,display design absolutely stunning
138,Laptop Pro,"Faced issues with charging, had to return it.",5,No,2025-03-02,faced issues charging return
139,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2025-03-04,month use still works flawlessly
140,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2025-03-06,month use still works flawlessly
141,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2025-03-08,camera quality could better overall okay
142,Earbuds 2.0,The display and design are absolutely stunning.,4,Yes,2025-03-10,display design absolutely stunning
143,Smartwatch Elite,"Faced issues with charging, had to return it.",4,Yes,2025-03-12,faced issues charging return
144,Smartwatch Elite,"Fantastic value for money, highly recommended.",1,Yes,2025-03-14,fantastic value money highly recommended
145,Laptop Pro,"Build quality feels cheap, disappointing experience.",2,Yes,2025-03-16,build quality feels cheap disappointing experience
146,Laptop Pro,"Sound quality is average, not worth the price.",5,Yes,2025-03-18,sound quality average worth price
147,Smartphone X,"Fantastic value for money, highly recommended.",5,Yes,2025-03-20,fantastic value money highly recommended
148,Earbuds 2.0,"Camera quality could be better, overall okay.",3,Yes,2025-03-22,camera quality could better overall okay
149,Smartwatch Elite,"Faced issues with charging, had to return it.",4,No,2025-03-24,faced issues charging return
150,Laptop Pro,Excellent battery life and smooth performance.,5,Yes,2025-03-26,excellent battery life smooth performance
151,Smartwatch Elite,Exceeded expectations! Will buy again.,2,Yes,2025-03-28,exceeded expectations buy
152,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2025-03-30,sound quality average worth price
153,Laptop Pro,"After a month of use, still works flawlessly.",4,Yes,2025-04-01,month use still works flawlessly
154,Smartwatch Elite,"After a month of use, still works flawlessly.",2,Yes,2025-04-03,month use still works flawlessly
155,Earbuds 2.0,The display and design are absolutely stunning.,4,Yes,2025-04-05,display design absolutely stunning
156,Smartphone X,Exceeded expectations! Will buy again.,3,Yes,2025-04-07,exceeded expectations buy
157,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2025-04-09,excellent battery life smooth performance
158,Laptop Pro,"Camera quality could be better, overall okay.",3,Yes,2025-04-11,camera quality could better overall okay
159,Earbuds 2.0,"Camera quality could be better, overall okay.",1,Yes,2025-04-13,camera quality could better overall okay
160,Earbuds 2.0,"Faced issues with charging, had to return it.",4,Yes,2025-04-15,faced issues charging return
161,Earbuds 2.0,"Sound quality is average, not worth the price.",2,Yes,2025-04-17,sound quality average worth price
162,Smartwatch Elite,"Fantastic value for money, highly recommended.",2,Yes,2025-04-19,fantastic value money highly recommended
163,Smartwatch Elite,The display and design are absolutely stunning.,5,Yes,2025-04-21,display design absolutely stunning
164,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2025-04-23,month use still works flawlessly
165,Smartwatch Elite,User interface is clean and easy to navigate.,1,No,2025-04-25,user interface clean easy navigate
166,Smartphone X,User interface is clean and easy to navigate.,2,No,2025-04-27,user interface clean easy navigate
167,Laptop Pro,"Sound quality is average, not worth the price.",5,Yes,2025-04-29,sound quality average worth price
168,Smartphone X,"Build quality feels cheap, disappointing experience.",4,Yes,2025-05-01,build quality feels cheap disappointing experience
169,Earbuds 2.0,The display and design are absolutely stunning.,2,Yes,2025-05-03,display design absolutely stunning
170,Laptop Pro,User interface is clean and easy to navigate.,2,Yes,2025-05-05,user interface clean easy navigate
171,Earbuds 2.0,"Camera quality could be better, overall okay.",5,No,2025-05-07,camera quality could better overall okay
172,Earbuds 2.0,"After a month of use, still works flawlessly.",2,No,2025-05-09,month use still works flawlessly
173,Laptop Pro,The display and design are absolutely stunning.,2,Yes,2025-05-11,display design absolutely stunning
174,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2025-05-13,month use still works flawlessly
175,Smartwatch Elite,"Sound quality is average, not worth the price.",5,Yes,2025-05-15,sound quality average worth price
176,Smartwatch Elite,"Sound quality is average, not worth the price.",4,Yes,2025-05-17,sound quality average worth price
177,Smartwatch Elite,"Faced issues with charging, had to return it.",2,Yes,2025-05-19,faced issues charging return
178,Smartphone X,User interface is clean and easy to navigate.,4,No,2025-05-21,user interface clean easy navigate
179,Laptop Pro,"Camera quality could be better, overall okay.",3,No,2025-05-23,camera quality could better overall okay
180,Smartphone X,"After a month of use, still works flawlessly.",5,No,2025-05-25,month use still works flawlessly
181,Laptop Pro,"Build quality feels cheap, disappointing experience.",3,Yes,2025-05-27,build quality feels cheap disappointing experience
182,Smartwatch Elite,"Faced issues with charging, had to return it.",3,Yes,2025-05-29,faced issues charging return
183,Laptop Pro,The display and design are absolutely stunning.,3,Yes,2025-05-31,display design absolutely stunning
184,Smartwatch Elite,The display and design are absolutely stunning.,1,Yes,2025-06-02,display design absolutely stunning
185,Earbuds 2.0,Excellent battery life and smooth performance.,4,Yes,2025-06-04,excellent battery life smooth performance
186,Smartphone X,"Camera quality could be better, overall okay.",3,Yes,2025-06-06,camera quality could better overall okay
187,Laptop Pro,User interface is clean and easy to navigate.,1,Yes,2025-06-08,user interface clean easy navigate
188,Smartwatch Elite,"Camera quality could be better, overall okay.",5,Yes,2025-06-10,camera quality could better overall okay
189,Smartphone X,"After a month of use, still works flawlessly.",2,Yes,2025-06-12,month use still works flawlessly
190,Laptop Pro,"Sound quality is average, not worth the price.",4,Yes,2025-06-14,sound quality average worth price
191,Smartwatch Elite,"After a month of use, still works flawlessly.",1,Yes,2025-06-16,month use still works flawlessly
192,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2025-06-18,camera quality could better overall okay
193,Smartphone X,The display and design are absolutely stunning.,1,Yes,2025-06-20,display design absolutely stunning
194,Laptop Pro,"Sound quality is average, not worth the price.",5,Yes,2025-06-22,sound quality average worth price
195,Earbuds 2.0,"Sound quality is average, not worth the price.",5,Yes,2025-06-24,sound quality average worth price
196,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,Yes,2025-06-26,fantastic value money highly recommended
197,Smartwatch Elite,User interface is clean and easy to navigate.,1,No,2025-06-28,user interface clean easy navigate
198,Smartphone X,"Sound quality is average, not worth the price.",3,Yes,2025-06-30,sound quality average worth price
199,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2025-07-02,sound quality average worth price
200,Laptop Pro,"Fantastic value for money, highly recommended.",2,Yes,2025-07-04,fantastic value money highly recommended
