review_id,product_name,review_text,rating,verified_purchase,review_date
57,Smartwatch Elite,The display and design are absolutely stunning.,5,Yes,2024-09-21
58,Laptop Pro,Exceeded expectations! Will buy again.,3,Yes,2024-09-23
59,Earbuds 2.0,User interface is clean and easy to navigate.,1,Yes,2024-09-25
60,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2024-09-27
61,Laptop Pro,"Faced issues with charging, had to return it.",1,Yes,2024-09-29
62,Smartwatch Elite,"Sound quality is average, not worth the price.",2,Yes,2024-10-01
63,Smartphone X,Exceeded expectations! Will buy again.,4,Yes,2024-10-03
64,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,No,2024-10-05
65,Smartphone X,"Sound quality is average, not worth the price.",1,Yes,2024-10-07
66,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2024-10-09
67,Smartwatch Elite,The display and design are absolutely stunning.,2,Yes,2024-10-11
68,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,No,2024-10-13
69,Smartwatch Elite,"Faced issues with charging, had to return it.",5,Yes,2024-10-15
70,Laptop Pro,"After a month of use, still works flawlessly.",1,Yes,2024-10-17
71,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2024-10-19
72,Laptop Pro,"Fantastic value for money, highly recommended.",1,Yes,2024-10-21
73,Laptop Pro,Exceeded expectations! Will buy again.,3,No,2024-10-23
74,Earbuds 2.0,"Build quality feels cheap, disappointing experience.",5,Yes,2024-10-25
75,Smartphone X,"Faced issues with charging, had to return it.",1,Yes,2024-10-27
76,Smartwatch Elite,The display and design are absolutely stunning.,4,Yes,2024-10-29
77,Smartphone X,"Faced issues with charging, had to return it.",4,Yes,2024-10-31
78,Earbuds 2.0,User interface is clean and easy to navigate.,4,Yes,2024-11-02
79,Smartwatch Elite,Excellent battery life and smooth performance.,3,Yes,2024-11-04
80,Laptop Pro,Excellent battery life and smooth performance.,2,Yes,2024-11-06
81,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2024-11-08
82,Smartphone X,"Camera quality could be better, overall okay.",3,No,2024-11-10
83,Laptop Pro,"Build quality feels cheap, disappointing experience.",4,Yes,2024-11-12
84,Earbuds 2.0,"Camera quality could be better, overall okay.",4,Yes,2024-11-14
85,Earbuds 2.0,"After a month of use, still works flawlessly.",3,Yes,2024-11-16
86,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2024-11-18
87,Earbuds 2.0,The display and design are absolutely stunning.,3,No,2024-11-20
88,Earbuds 2.0,"Faced issues with charging, had to return it.",1,Yes,2024-11-22
89,Earbuds 2.0,Exceeded expectations! Will buy again.,2,No,2024-11-24
90,Laptop Pro,"Build quality feels cheap, disappointing experience.",3,Yes,2024-11-26
91,Smartphone X,"Sound quality is average, not worth the price.",2,Yes,2024-11-28
92,Earbuds 2.0,"After a month of use, still works flawlessly.",2,Yes,2024-11-30
93,Earbuds 2.0,Excellent battery life and smooth performance.,2,No,2024-12-02
94,Smartphone X,The display and design are absolutely stunning.,1,Yes,2024-12-04
95,Earbuds 2.0,Excellent battery life and smooth performance.,2,Yes,2024-12-06
96,Laptop Pro,"Build quality feels cheap, disappointing experience.",5,Yes,2024-12-08
97,Smartphone X,Exceeded expectations! Will buy again.,2,Yes,2024-12-10
98,Laptop Pro,"After a month of use, still works flawlessly.",4,Yes,2024-12-12
99,Smartwatch Elite,Excellent battery life and smooth performance.,1,Yes,2024-12-14
100,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2024-12-16
101,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,Yes,2024-12-18
102,Earbuds 2.0,"Fantastic value for money, highly recommended.",5,Yes,2024-12-20
103,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2024-12-22
104,Laptop Pro,Exceeded expectations! Will buy again.,2,Yes,2024-12-24
105,Smartphone X,"Faced issues with charging, had to return it.",5,Yes,2024-12-26
106,Smartwatch Elite,"Sound quality is average, not worth the price.",1,Yes,2024-12-28
107,Smartwatch Elite,Exceeded expectations! Will buy again.,4,No,2024-12-30
108,Smartphone X,Excellent battery life and smooth performance.,3,Yes,2025-01-01
109,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2025-01-03
110,Earbuds 2.0,"Sound quality is average, not worth the price.",4,Yes,2025-01-05
111,Earbuds 2.0,"Fantastic value for money, highly recommended.",4,Yes,2025-01-07
112,Smartphone X,"Camera quality could be better, overall okay.",2,Yes,2025-01-09
113,Earbuds 2.0,"Camera quality could be better, overall okay.",1,Yes,2025-01-11
114,Earbuds 2.0,"Sound quality is average, not worth the price.",5,No,2025-01-13
115,Smartwatch Elite,"After a month of use, still works flawlessly.",3,No,2025-01-15
116,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2025-01-17
117,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2025-01-19
118,Smartphone X,"Sound quality is average, not worth the price.",5,Yes,2025-01-21
119,Smartwatch Elite,"Camera quality could be better, overall okay.",1,Yes,2025-01-23
120,Earbuds 2.0,"Faced issues with charging, had to return it.",1,No,2025-01-25
121,Smartphone X,"Faced issues with charging, had to return it.",4,Yes,2025-01-27
122,Smartphone X,"Fantastic value for money, highly recommended.",2,Yes,2025-01-29
123,Earbuds 2.0,"Sound quality is average, not worth the price.",4,Yes,2025-01-31
124,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2025-02-02
125,Smartphone X,"After a month of use, still works flawlessly.",4,No,2025-02-04
126,Laptop Pro,"Faced issues with charging, had to return it.",5,No,2025-02-06
127,Laptop Pro,"Fantastic value for money, highly recommended.",3,Yes,2025-02-08
128,Smartphone X,Exceeded expectations! Will buy again.,5,Yes,2025-02-10
129,Smartwatch Elite,"Sound quality is average, not worth the price.",2,No,2025-02-12
130,Earbuds 2.0,"Fantastic value for money, highly recommended.",2,Yes,2025-02-14
131,Smartphone X,The display and design are absolutely stunning.,5,No,2025-02-16
132,Laptop Pro,Excellent battery life and smooth performance.,4,Yes,2025-02-18
133,Earbuds 2.0,Excellent battery life and smooth performance.,3,Yes,2025-02-20
134,Smartphone X,Exceeded expectations! Will buy again.,2,Yes,2025-02-22
135,Laptop Pro,"After a month of use, still works flawlessly.",5,Yes,2025-02-24
136,Laptop Pro,Exceeded expectations! Will buy again.,4,Yes,2025-02-26
137,Earbuds 2.0,The display and design are absolutely stunning.,3,No,2025-02-28
138,Laptop Pro,"Faced issues with charging, had to return it.",5,No,2025-03-02
139,Smartwatch Elite,"After a month of use, still works flawlessly.",5,No,2025-03-04
140,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2025-03-06
141,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2025-03-08
142,Earbuds 2.0,The display and design are absolutely stunning.,4,Yes,2025-03-10
143,Smartwatch Elite,"Faced issues with charging, had to return it.",4,Yes,2025-03-12
144,Smartwatch Elite,"Fantastic value for money, highly recommended.",1,Yes,2025-03-14
145,Laptop Pro,"Build quality feels cheap, disappointing experience.",2,Yes,2025-03-16
146,Laptop Pro,"Sound quality is average, not worth the price.",5,Yes,2025-03-18
147,Smartphone X,"Fantastic value for money, highly recommended.",5,Yes,2025-03-20
148,Earbuds 2.0,"Camera quality could be better, overall okay.",3,Yes,2025-03-22
149,Smartwatch Elite,"Faced issues with charging, had to return it.",4,No,2025-03-24
150,Laptop Pro,Excellent battery life and smooth performance.,5,Yes,2025-03-26
151,Smartwatch Elite,Exceeded expectations! Will buy again.,2,Yes,2025-03-28
152,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2025-03-30
153,Laptop Pro,"After a month of use, still works flawlessly.",4,Yes,2025-04-01
154,Smartwatch Elite,"After a month of use, still works flawlessly.",2,Yes,2025-04-03
155,Earbuds 2.0,The display and design are absolutely stunning.,4,Yes,2025-04-05
156,Smartphone X,Exceeded expectations! Will buy again.,3,Yes,2025-04-07
157,Laptop Pro,Excellent battery life and smooth performance.,3,Yes,2025-04-09
158,Laptop Pro,"Camera quality could be better, overall okay.",3,Yes,2025-04-11
159,Earbuds 2.0,"Camera quality could be better, overall okay.",1,Yes,2025-04-13
160,Earbuds 2.0,"Faced issues with charging, had to return it.",4,Yes,2025-04-15
161,Earbuds 2.0,"Sound quality is average, not worth the price.",2,Yes,2025-04-17
162,Smartwatch Elite,"Fantastic value for money, highly recommended.",2,Yes,2025-04-19
163,Smartwatch Elite,The display and design are absolutely stunning.,5,Yes,2025-04-21
164,Smartphone X,"After a month of use, still works flawlessly.",3,Yes,2025-04-23
165,Smartwatch Elite,User interface is clean and easy to navigate.,1,No,2025-04-25
166,Smartphone X,User interface is clean and easy to navigate.,2,No,2025-04-27
167,Laptop Pro,"Sound quality is average, not worth the price.",5,Yes,2025-04-29
168,Smartphone X,"Build quality feels cheap, disappointing experience.",4,Yes,2025-05-01
169,Earbuds 2.0,The display and design are absolutely stunning.,2,Yes,2025-05-03
170,Laptop Pro,User interface is clean and easy to navigate.,2,Yes,2025-05-05
171,Earbuds 2.0,"Camera quality could be better, overall okay.",5,No,2025-05-07
172,Earbuds 2.0,"After a month of use, still works flawlessly.",2,No,2025-05-09
173,Laptop Pro,The display and design are absolutely stunning.,2,Yes,2025-05-11
174,Smartphone X,"After a month of use, still works flawlessly.",1,Yes,2025-05-13
175,Smartwatch Elite,"Sound quality is average, not worth the price.",5,Yes,2025-05-15
176,Smartwatch Elite,"Sound quality is average, not worth the price.",4,Yes,2025-05-17
177,Smartwatch Elite,"Faced issues with charging, had to return it.",2,Yes,2025-05-19
178,Smartphone X,User interface is clean and easy to navigate.,4,No,2025-05-21
179,Laptop Pro,"Camera quality could be better, overall okay.",3,No,2025-05-23
180,Smartphone X,"After a month of use, still works flawlessly.",5,No,2025-05-25
181,Laptop Pro,"Build quality feels cheap, disappointing experience.",3,Yes,2025-05-27
182,Smartwatch Elite,"Faced issues with charging, had to return it.",3,Yes,2025-05-29
183,Laptop Pro,The display and design are absolutely stunning.,3,Yes,2025-05-31
184,Smartwatch Elite,The display and design are absolutely stunning.,1,Yes,2025-06-02
185,Earbuds 2.0,Excellent battery life and smooth performance.,4,Yes,2025-06-04
186,Smartphone X,"Camera quality could be better, overall okay.",3,Yes,2025-06-06
187,Laptop Pro,User interface is clean and easy to navigate.,1,Yes,2025-06-08
188,Smartwatch Elite,"Camera quality could be better, overall okay.",5,Yes,2025-06-10
189,Smartphone X,"After a month of use, still works flawlessly.",2,Yes,2025-06-12
190,Laptop Pro,"Sound quality is average, not worth the price.",4,Yes,2025-06-14
191,Smartwatch Elite,"After a month of use, still works flawlessly.",1,Yes,2025-06-16
192,Smartphone X,"Camera quality could be better, overall okay.",4,Yes,2025-06-18
193,Smartphone X,The display and design are absolutely stunning.,1,Yes,2025-06-20
194,Laptop Pro,"Sound quality is average, not worth the price.",5,Yes,2025-06-22
195,Earbuds 2.0,"Sound quality is average, not worth the price.",5,Yes,2025-06-24
196,Smartwatch Elite,"Fantastic value for money, highly recommended.",4,Yes,2025-06-26
197,Smartwatch Elite,User interface is clean and easy to navigate.,1,No,2025-06-28
198,Smartphone X,"Sound quality is average, not worth the price.",3,Yes,2025-06-30
199,Earbuds 2.0,"Sound quality is average, not worth the price.",1,Yes,2025-07-02
200,Laptop Pro,"Fantastic value for money, highly recommended.",2,Yes,2025-07-04
